period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2023-08,MA,Massachusetts,ALL,all sectors,3350451,22.32,1093.89775,4899.93374,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-08,MA,Massachusetts,TRA,transportation,2,6.75,1.498,22.20821,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-08,MA,Massachusetts,RES,residential,2890134,28.02,570.27156,2035.08664,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-08,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-08,MA,Massachusetts,IND,industrial,10517,17.67,94.86899,537.04429,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-08,MA,Massachusetts,COM,commercial,449798,18.53,427.2592,2305.59459,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-07,MA,Massachusetts,ALL,all sectors,3349222,22.08,1103.56341,4997.71374,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-07,MA,Massachusetts,TRA,transportation,2,6.62,1.87207,28.26963,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-07,MA,Massachusetts,RES,residential,2889107,27.43,554.37336,2021.1935,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-07,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-07,MA,Massachusetts,IND,industrial,10556,17.94,102.9742,574.118,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-07,MA,Massachusetts,COM,commercial,449557,18.72,444.34378,2374.13261,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-06,MA,Massachusetts,ALL,all sectors,3343279,21.99,882.83532,4013.95581,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-06,MA,Massachusetts,TRA,transportation,2,7.28,1.55016,21.30257,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-06,MA,Massachusetts,RES,residential,2884572,27.52,399.20123,1450.48232,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-06,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-06,MA,Massachusetts,IND,industrial,10421,17.5,93.80611,536.08779,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-06,MA,Massachusetts,COM,commercial,448284,19.36,388.27783,2006.08313,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-05,MA,Massachusetts,ALL,all sectors,3333324,21.64,796.87864,3683.06613,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-05,MA,Massachusetts,TRA,transportation,2,7.51,1.61817,21.55716,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-05,MA,Massachusetts,RES,residential,2876212,29.39,380.69536,1295.38039,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-05,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-05,MA,Massachusetts,IND,industrial,10476,17.6,87.07239,494.63261,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-05,MA,Massachusetts,COM,commercial,446634,17.5,327.49272,1871.49597,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-04,MA,Massachusetts,ALL,all sectors,3274940,24.95,896.24585,3591.95794,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-04,MA,Massachusetts,TRA,transportation,2,7.5,1.62291,21.64179,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-04,MA,Massachusetts,RES,residential,2877148,32.36,433.66128,1340.13275,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-04,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-04,MA,Massachusetts,IND,industrial,10415,17.55,82.36616,469.33581,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-04,MA,Massachusetts,COM,commercial,387375,21.5,378.5955,1760.84759,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-03,MA,Massachusetts,ALL,all sectors,3341330,24.9,1013.07626,4068.23703,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-03,MA,Massachusetts,TRA,transportation,2,7.27,1.8054,24.84037,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-03,MA,Massachusetts,RES,residential,2880009,32.72,518.5008,1584.82827,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-03,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-03,MA,Massachusetts,IND,industrial,10793,18.14,90.45079,498.53349,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-03,MA,Massachusetts,COM,commercial,450526,20.53,402.31927,1960.0349,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-02,MA,Massachusetts,ALL,all sectors,3342322,25.77,1058.22051,4105.90217,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-02,MA,Massachusetts,TRA,transportation,2,8.65,2.1142,24.44152,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-02,MA,Massachusetts,RES,residential,2889555,32.56,537.87903,1652.20525,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-02,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-02,MA,Massachusetts,IND,industrial,10554,19.1,91.76255,480.52348,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-02,MA,Massachusetts,COM,commercial,442211,21.88,426.46474,1948.73192,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-01,MA,Massachusetts,ALL,all sectors,3343232,25.44,1114.17208,4379.15247,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-01,MA,Massachusetts,TRA,transportation,2,7.2,1.90005,26.38097,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-01,MA,Massachusetts,RES,residential,2886490,32.19,586.07717,1820.45053,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-01,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-01,MA,Massachusetts,IND,industrial,10432,18.94,93.7383,494.9737,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2023-01,MA,Massachusetts,COM,commercial,446308,21.23,432.45656,2037.34728,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-12,MA,Massachusetts,ALL,all sectors,3288191,23.55,980.7547,4163.69521,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-12,MA,Massachusetts,TRA,transportation,2,7.84,2.00336,25.55445,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-12,MA,Massachusetts,RES,residential,2842637,30.64,499.69706,1630.96378,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-12,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-12,MA,Massachusetts,IND,industrial,10425,17.78,89.98599,506.12216,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-12,MA,Massachusetts,COM,commercial,435127,19.44,389.06829,2001.05483,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-11,MA,Massachusetts,ALL,all sectors,3331143,21.79,822.7373,3775.16448,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-11,MA,Massachusetts,COM,commercial,439898,18.68,352.19594,1885.29638,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-11,MA,Massachusetts,IND,industrial,10512,16.83,82.58637,490.73374,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-11,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-11,MA,Massachusetts,RES,residential,2880731,28.07,386.58797,1377.07796,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-11,MA,Massachusetts,TRA,transportation,2,6.2,1.36702,22.0564,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-10,MA,Massachusetts,ALL,all sectors,3354538,21.25,824.81277,3881.12466,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-10,MA,Massachusetts,TRA,transportation,2,6.38,1.33597,20.95326,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-10,MA,Massachusetts,RES,residential,2905488,26.15,378.44831,1447.26959,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-10,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-10,MA,Massachusetts,IND,industrial,10529,17.09,85.77684,501.92333,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-10,MA,Massachusetts,COM,commercial,438519,18.8,359.25165,1910.97848,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-09,MA,Massachusetts,ALL,all sectors,3371232,22.51,1008.31485,4479.09276,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-09,MA,Massachusetts,COM,commercial,438057,19.61,424.78282,2166.38501,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-09,MA,Massachusetts,IND,industrial,10602,17.85,89.82052,503.08202,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-09,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-09,MA,Massachusetts,RES,residential,2922571,27.56,492.16977,1785.82224,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-09,MA,Massachusetts,TRA,transportation,2,6.48,1.54174,23.80349,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-08,MA,Massachusetts,ALL,all sectors,3522169,22.17,1125.01781,5075.29851,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-08,MA,Massachusetts,TRA,transportation,2,7.18,1.68796,23.51724,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-08,MA,Massachusetts,RES,residential,3072747,26.46,564.08652,2131.69953,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-08,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-08,MA,Massachusetts,IND,industrial,10566,18.41,100.21285,544.29951,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-08,MA,Massachusetts,COM,commercial,438854,19.32,459.03048,2375.78223,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-07,MA,Massachusetts,ALL,all sectors,3319758,20.2,992.13946,4911.31183,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-07,MA,Massachusetts,TRA,transportation,2,6.85,1.57922,23.04485,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-07,MA,Massachusetts,RES,residential,2871948,23.76,455.78766,1918.35206,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-07,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-07,MA,Massachusetts,IND,industrial,10574,17.79,100.98874,567.77622,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-07,MA,Massachusetts,COM,commercial,437234,18.06,433.78384,2402.1387,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-06,MA,Massachusetts,ALL,all sectors,3329338,20.34,822.10513,4040.90064,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-06,MA,Massachusetts,TRA,transportation,2,6.57,1.53429,23.35661,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-06,MA,Massachusetts,RES,residential,2880914,25.02,373.41927,1492.61157,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-06,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-06,MA,Massachusetts,IND,industrial,10532,17.06,92.65966,543.07608,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-06,MA,Massachusetts,COM,commercial,437890,17.89,354.49192,1981.85638,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-05,MA,Massachusetts,ALL,all sectors,3304950,19.27,747.15028,3877.59216,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-05,MA,Massachusetts,COM,commercial,434640,16.97,324.2414,1911.03006,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-05,MA,Massachusetts,IND,industrial,10593,16.31,86.99109,533.29631,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-05,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-05,MA,Massachusetts,RES,residential,2859715,23.72,334.12396,1408.67267,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-05,MA,Massachusetts,TRA,transportation,2,7.29,1.79384,24.59313,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-04,MA,Massachusetts,ALL,all sectors,3220148,19.59,778.27692,3972.75712,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-04,MA,Massachusetts,TRA,transportation,2,6.64,1.67996,25.28428,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-04,MA,Massachusetts,RES,residential,2792869,24.21,361.07372,1491.47368,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-04,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-04,MA,Massachusetts,IND,industrial,10217,15.87,83.95912,529.06786,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-04,MA,Massachusetts,COM,commercial,417060,17.21,331.56412,1926.93129,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-03,MA,Massachusetts,ALL,all sectors,3363315,20.95,857.29901,4092.78766,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-03,MA,Massachusetts,COM,commercial,439079,18.78,359.43236,1914.08401,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-03,MA,Massachusetts,IND,industrial,10625,16.15,84.62229,523.90714,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-03,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-03,MA,Massachusetts,RES,residential,2913609,25.29,411.36448,1626.33509,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-03,MA,Massachusetts,TRA,transportation,2,6.61,1.87988,28.46143,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-02,MA,Massachusetts,ALL,all sectors,3302557,21.7,927.06194,4271.69251,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-02,MA,Massachusetts,TRA,transportation,2,8.45,2.40598,28.4607,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-02,MA,Massachusetts,RES,residential,2857493,25.57,462.90612,1810.21095,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-02,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-02,MA,Massachusetts,IND,industrial,10524,16.64,80.9464,486.53725,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-02,MA,Massachusetts,COM,commercial,434538,19.56,380.80344,1946.48361,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-01,MA,Massachusetts,ALL,all sectors,3308164,21.55,957.46178,4442.02246,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-01,MA,Massachusetts,TRA,transportation,2,7.91,2.37051,29.97217,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-01,MA,Massachusetts,RES,residential,2862257,25.27,476.6233,1886.40187,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-01,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-01,MA,Massachusetts,IND,industrial,10572,16.8,84.65104,504.01038,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2022-01,MA,Massachusetts,COM,commercial,435333,19.48,393.81693,2021.63803,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2021-12,MA,Massachusetts,ALL,all sectors,3290291,20.1,806.68948,4013.53301,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2021-12,MA,Massachusetts,TRA,transportation,2,6.43,1.90247,29.5654,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2021-12,MA,Massachusetts,RES,residential,2846516,24.32,396.73991,1631.28089,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2021-12,MA,Massachusetts,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
